approved_symbol,hgnc_id,evidence_count,source_count_percentile,pLI,oe_lof,lof_z,mis_z,omim_summary,gencc_summary,clingen_summary,clinvar,clinical_groups_p,onset_groups_p,syndromic_groups_p,mgi_phenotype,interaction_score,stringdb_interaction_sum_score,stringdb_interaction_normalized_score,stringdb_interaction_string,expression_score,gtex_kidney_medulla,gtex_kidney_cortex,descartes_kidney_tpm,cur_id
APOC2,609,2,1.4676080939994776,NULL,NULL,NULL,NULL,"Hyperlipoproteinemia, type Ib[OMIM:207750]-Autosomal recessive inheritance","Strong, Strong, Supportive (familial apolipoprotein C-II deficiency[MONDO:0008810]-Autosomal recessive) | Strong (familial apolipoprotein C-II deficiency[MONDO:0008810]-Semidominant)",NULL,P:13; LP:1; VUS:30,NULL,NULL,NULL,hm (false); ht (false),0.5,4928,0.7379454926624738,"9606.ENSP00000252486:997, 9606.ENSP00000236850:974, 9606.ENSP00000264005:787, 9606.ENSP00000377836:499, 9606.ENSP00000356969:951, 9606.ENSP00000317674:720",0,1.48279,3.1734400000000003,0.00315538231026339,cur_028
APOE,613,5,3.200962972038616,0.001868,0.52375,1.4937,0.74028,"Alzheimer disease 2[OMIM:104310]-Autosomal dominant inheritance | Sea-blue histiocyte disease[OMIM:269600]-Autosomal recessive inheritance | {?Alzheimer disease, protection against, due to APOE3-Christchurch}[OMIM:607822]-Autosomal dominant inheritance | {Coronary artery disease, severe, susceptibility to}[OMIM:617347]-NA | Lipoprotein glomerulopathy[OMIM:611771]-NA | {?Macular degeneration, age-related}[OMIM:603075]-Autosomal dominant inheritance | Hyperlipoproteinemia, type III[OMIM:617347]-NA","Definitive (Alzheimer disease 2[MONDO:0007089]-Autosomal dominant) | Supportive (sea-blue histiocyte syndrome[MONDO:0010017]-Autosomal dominant) | Strong, Supportive (lipoprotein glomerulopathy[MONDO:0012725]-Autosomal dominant) | Strong (hyperlipoproteinemia type 3[MONDO:0018473]-Autosomal dominant) | Strong, Moderate (hyperlipoproteinemia type 3[MONDO:0018473]-Autosomal recessive)",NULL,P:15; LP:7; VUS:55,OMIM:611771 (nephrocalcinosis: 0.111 | tubulopathy: 0.105 | glomerulopathy: 0.098 | complement: 0.071 | cyst_cilio: 0.068 | cakut: 0.04 | cancer: 0.02),OMIM:104310 (adult: 0.108); OMIM:269600 (adult: 0.218); OMIM:603075 (adult: 0.108); OMIM:607822 (adult: 0.218),OMIM:104310 (syndromic: 0.004 | neurologic: 0.009); OMIM:607822 (syndromic: 0.053 | neurologic: 0.111),hm (true); ht (false),1,11526,0.9454926624737946,"9606.ENSP00000313967:416, 9606.ENSP00000264005:837, 9606.ENSP00000322323:499, 9606.ENSP00000237014:766, 9606.ENSP00000269305:202, 9606.ENSP00000377836:499, 9606.ENSP00000362924:400, 9606.ENSP00000451828:165, 9606.ENSP00000294304:623, 9606.ENSP00000287878:382, 9606.ENSP00000466775:997, 9606.ENSP00000290866:325, 9606.ENSP00000346839:152, 9606.ENSP00000339191:635, 9606.ENSP00000356399:891, 9606.ENSP00000180166:222, 9606.ENSP00000317674:931, 9606.ENSP00000356969:997, 9606.ENSP00000236850:996, 9606.ENSP00000416561:371, 9606.ENSP00000264664:220",0.5,150.055,629.226,41.7436218508662,cur_029
APOL1,618,5,3.67839779125034,NULL,NULL,NULL,NULL,"{Glomerulosclerosis, focal segmental, 4, susceptibility to}[OMIM:612551]-Autosomal dominant inheritance","Definitive (focal segmental glomerulosclerosis 4, susceptibility to[MONDO:0012931]-Autosomal recessive)","Definitive (focal segmental glomerulosclerosis 4, susceptibility to[MONDO:0012931]-AR)",P:0; LP:0; VUS:50,OMIM:612551 (glomerulopathy: 0.224 | cyst_cilio: 0.134 | cancer: 0.05 | tubulopathy: 0.049 | cakut: 0.048 | complement: 0.036 | nephrocalcinosis: 0.028),NULL,NULL,hm (false); ht (false),0.5,5250,0.7589098532494759,"9606.ENSP00000252486:931, 9606.ENSP00000264896:299, 9606.ENSP00000264005:720, 9606.ENSP00000466775:720, 9606.ENSP00000322323:630, 9606.ENSP00000236850:997, 9606.ENSP00000227507:158, 9606.ENSP00000356969:795",0,43.1851,27.1554,5.37529435232963,cur_030
APRT,626,5,3.860914958766819,0,1.7501,-2.0349,-0.23784,Adenine phosphoribosyltransferase deficiency[OMIM:614723]-Autosomal recessive inheritance,"Definitive, Strong, Supportive (adenine phosphoribosyltransferase deficiency[MONDO:0013869]-Autosomal recessive)",NULL,P:56; LP:12; VUS:30,OMIM:614723 (tubulopathy: 0.28 | nephrocalcinosis: 0.278 | complement: 0.214 | glomerulopathy: 0.137 | cyst_cilio: 0.084 | cakut: 0.069 | cancer: 0.03),OMIM:614723 (neonatal_or_pediatric: 0.463),NULL,hm (true); ht (true),0.5,1257,0.2976939203354298,"9606.ENSP00000445175:179, 9606.ENSP00000298556:919, 9606.ENSP00000357283:159",0.5,101.9,79.9664,35.0364238275732,cur_031
AQP2,634,5,4.0137305870008415,2e-6,0.91172,0.25702,1.0598,"Diabetes insipidus, nephrogenic, 2[OMIM:125800]-Autosomal dominant inheritance | Diabetes insipidus, nephrogenic, 2[OMIM:125800]-Autosomal recessive inheritance",Supportive (nephrogenic diabetes insipidus[MONDO:0016383]-Autosomal dominant),NULL,P:38; LP:18; VUS:81,OMIM:125800 (tubulopathy: 0.112 | nephrocalcinosis: 0.076 | cyst_cilio: 0.024 | cakut: 0.008 | glomerulopathy: 0.004),OMIM:125800 (neonatal_or_pediatric: 0.134),OMIM:125800 (syndromic: 0.064 | growth: 0.421 | neurologic: 0.086),hm (true); ht (true),0.5,697,0.1761006289308176,"9606.ENSP00000265171:167, 9606.ENSP00000327943:229, 9606.ENSP00000484824:301",0.5,367.805,182.646,6.87206405646483,cur_032
ARHGAP24,25361,3,2.5194379068298898,0,0.57859,2.3526,0.15336,NULL,Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant),NULL,P:0; LP:0; VUS:63,NULL,NULL,NULL,hm (NA); ht (NA),0.5,965,0.22641509433962265,9606.ENSP00000358866:965,0.5,19.7838,12.7166,234.694405523053,cur_033
ARHGDIA,678,4,3.490645786442282,0.03642,0.38028,1.8625,1.2041,"Nephrotic syndrome, type 8[OMIM:615244]-Autosomal recessive inheritance","Moderate (nephrotic syndrome, type 8[MONDO:0014099]-Autosomal recessive) | Supportive (familial idiopathic steroid-resistant nephrotic syndrome[MONDO:0019006]-Autosomal dominant)",NULL,P:3; LP:0; VUS:14,OMIM:615244 (glomerulopathy: 0.297 | cyst_cilio: 0.139 | nephrocalcinosis: 0.062 | cakut: 0.06 | cancer: 0.05 | tubulopathy: 0.042 | complement: 0.036),OMIM:615244 (neonatal_or_pediatric: 0.134),OMIM:615244 (syndromic: 0.039 | neurologic: 0.081),hm (true); ht (false),0,NULL,NULL,NULL,0.5,134.30700000000002,126.83,78.4815845855732,cur_034
ARL13B,25419,4,3.379340120476713,0,0.69124,1.4189,-0.059241,Joubert syndrome 8[OMIM:612291]-Autosomal recessive inheritance,"Definitive, Strong, Moderate (Joubert syndrome 8[MONDO:0012855]-Autosomal recessive) | Definitive, Supportive (Joubert syndrome[MONDO:0018772]-Autosomal recessive)",Definitive (Joubert syndrome[MONDO:0018772]-AR),P:17; LP:11; VUS:149,NULL,OMIM:612291 (neonatal_or_pediatric: 0.134),OMIM:612291 (syndromic: 0.066 | growth: 0.043 | skeletal: 0.001 | neurologic: 0.133),hm (false); ht (false),0.5,4782,0.7295597484276729,"9606.ENSP00000360777:900, 9606.ENSP00000393541:472, 9606.ENSP00000404122:594, 9606.ENSP00000242591:590, 9606.ENSP00000287600:887, 9606.ENSP00000256078:233, 9606.ENSP00000362121:639, 9606.ENSP00000260746:467",0.5,4.0288900000000005,2.61616,71.6591140559088,cur_035
ARL6,13210,5,4.481688340014491,0.01013,0.43627,1.7684,0.55514,"Retinitis pigmentosa 55[OMIM:613575]-Autosomal recessive inheritance | {Bardet-Biedl syndrome 1, modifier of}[OMIM:209900]-Autosomal recessive inheritance | {Bardet-Biedl syndrome 1, modifier of}[OMIM:209900]-Digenic inheritance | Bardet-Biedl syndrome 3[OMIM:600151]-Autosomal recessive inheritance","Definitive, Strong, Strong (Bardet-Biedl syndrome 3[MONDO:0010832]-Autosomal recessive) | Definitive (retinitis pigmentosa 55[MONDO:0013312]-Autosomal recessive) | Supportive (Bardet-Biedl syndrome[MONDO:0015229]-Autosomal recessive) | Supportive (retinitis pigmentosa[MONDO:0019200]-Autosomal dominant)",NULL,P:22; LP:6; VUS:78,OMIM:209900 (cyst_cilio: 0.018 | cancer: 0.01 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002); OMIM:600151 (cakut: 0.089 | cyst_cilio: 0.037 | cancer: 0.03 | tubulopathy: 0.007 | glomerulopathy: 0.004),OMIM:209900 (antenatal_or_congenital: 0.821); OMIM:600151 (antenatal_or_congenital: 0.821),OMIM:209900 (syndromic: 0.093 | growth: 0.054 | skeletal: 0.052 | neurologic: 0.133); OMIM:600151 (syndromic: 0.051 | growth: 0.043 | skeletal: 0.017 | neurologic: 0.091),hm (false); ht (false),0,NULL,NULL,NULL,0.5,3.85411,2.74419,19.5805400474747,cur_036
ARMC9,20730,2,1.7684813486654547,NULL,NULL,NULL,NULL,Joubert syndrome 30[OMIM:617622]-Autosomal recessive inheritance,"Supportive (Joubert syndrome[MONDO:0018772]-Autosomal recessive) | Definitive, Definitive, Strong (Joubert syndrome 30[MONDO:0033308]-Autosomal recessive)",Definitive (Joubert syndrome 30[MONDO:0033308]-AR),P:21; LP:21; VUS:333,NULL,OMIM:617622 (antenatal_or_congenital: 0.821),OMIM:617622 (syndromic: 0.092 | skeletal: 0.009 | neurologic: 0.19),hm (NA); ht (NA),0,NULL,NULL,NULL,0.5,0.0592379,0.0412333,185.507042697717,cur_037
ATP1A1,799,2,1.687314191193802,NULL,NULL,NULL,NULL,"Hypomagnesemia, seizures, and impaired intellectual development 2[OMIM:618314]-Autosomal dominant inheritance | Charcot-Marie-Tooth disease, axonal, type 2DD[OMIM:618036]-Autosomal dominant inheritance","Limited (hypomagnesemia, seizures, and intellectual disability 2[MONDO:0020788]-Autosomal dominant) | Moderate, Moderate, Supportive (charcot-marie-tooth disease, axonal, type 2DD[MONDO:0054833]-Autosomal dominant)","Moderate (charcot-marie-tooth disease, axonal, type 2DD[MONDO:0054833]-AD)",P:11; LP:7; VUS:155,OMIM:618314 (nephrocalcinosis: 0.25 | tubulopathy: 0.238 | cyst_cilio: 0.026 | glomerulopathy: 0.022 | cancer: 0.01 | cakut: 0.008),OMIM:618036 (adult: 0.218 | neonatal_or_pediatric: 0.2); OMIM:618314 (neonatal_or_pediatric: 0.537),OMIM:618036 (syndromic: 0.01 | neurologic: 0.02); OMIM:618314 (syndromic: 0.054 | neurologic: 0.113),hm (false); ht (false),0.5,4692,0.7211740041928721,"9606.ENSP00000215832:292, 9606.ENSP00000451828:206, 9606.ENSP00000231509:292, 9606.ENSP00000262418:292, 9606.ENSP00000256078:212, 9606.ENSP00000322323:292, 9606.ENSP00000292079:954, 9606.ENSP00000339191:333, 9606.ENSP00000356319:292, 9606.ENSP00000362680:371, 9606.ENSP00000237596:286, 9606.ENSP00000340913:292, 9606.ENSP00000311505:292, 9606.ENSP00000262304:286",0.5,498.37,344.699,108.071809653078,cur_038
ATP6V0A4,866,5,3.859222288540487,0,0.76337,1.5266,0.85465,"Distal renal tubular acidosis 3, with or without sensorineural hearing loss[OMIM:602722]-Autosomal recessive inheritance","Strong, Strong (renal tubular acidosis, distal, 3, with or without sensorineural hearing loss[MONDO:0011268]-Autosomal recessive) | Supportive (autosomal recessive distal renal tubular acidosis[MONDO:0018440]-Autosomal recessive)",NULL,P:35; LP:13; VUS:126,OMIM:602722 (nephrocalcinosis: 0.208 | tubulopathy: 0.154 | glomerulopathy: 0.018 | cakut: 0.012 | cancer: 0.01 | cyst_cilio: 0.003),OMIM:602722 (neonatal_or_pediatric: 0.799),OMIM:602722 (syndromic: 0.014 | growth: 0.262 | skeletal: 0.002),hm (true); ht (true),0.5,1163,0.27253668763102723,"9606.ENSP00000417052:243, 9606.ENSP00000234396:920",0.5,111.04299999999999,94.4026,21.9937179818772,cur_039
ATP6V1B1,853,5,3.8905012505423406,0,0.63915,1.7745,0.23189,Distal renal tubular acidosis 2 with progressive sensorineural hearing loss[OMIM:267300]-Autosomal recessive inheritance,"Definitive, Definitive, Strong, Strong, Strong (renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss[MONDO:0009968]-Autosomal recessive) | Supportive (autosomal recessive distal renal tubular acidosis[MONDO:0018440]-Autosomal recessive)","Definitive (renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss[MONDO:0009968]-AR)",P:53; LP:29; VUS:121,OMIM:267300 (nephrocalcinosis: 0.146 | tubulopathy: 0.14 | cakut: 0.02 | glomerulopathy: 0.016 | cancer: 0.01 | cyst_cilio: 0.005),NULL,NULL,hm (true); ht (false),0.5,2209,0.44025157232704404,"9606.ENSP00000358423:499, 9606.ENSP00000262613:404, 9606.ENSP00000327650:223, 9606.ENSP00000308122:920, 9606.ENSP00000264896:163",0,54.1749,88.8299,2.96589477193137,cur_040
ATXN10,10549,2,1.3347396721785518,3.45e-4,0.41091,2.6929,-0.32533,Spinocerebellar ataxia 10[OMIM:603516]-Autosomal dominant inheritance,Supportive (spinocerebellar ataxia type 10[MONDO:0011330]-Autosomal dominant),NULL,P:1; LP:0; VUS:15,NULL,OMIM:603516 (adult: 0.575),OMIM:603516 (syndromic: 0.065 | neurologic: 0.135),hm (false); ht (false),0.5,1988,0.40670859538784065,"9606.ENSP00000313875:343, 9606.ENSP00000346839:229, 9606.ENSP00000368632:195, 9606.ENSP00000448012:396, 9606.ENSP00000311505:662, 9606.ENSP00000227507:163",0.5,0,0,246.672424262455,cur_041
AVP,894,4,2.511123175124746,0.074413000000000007,0.48081,0.98124,1.0546,"Diabetes insipidus, neurohypophyseal[OMIM:125700]-Autosomal dominant inheritance","Strong, Supportive (neurohypophyseal diabetes insipidus[MONDO:0007450]-Autosomal dominant)",NULL,P:22; LP:3; VUS:16,NULL,NULL,OMIM:125700 (syndromic: 0.012 | skeletal: 0.009 | neurologic: 0.002),hm (true); ht (true),0.5,2820,0.5366876310272537,"9606.ENSP00000370719:499, 9606.ENSP00000260649:298, 9606.ENSP00000347244:499, 9606.ENSP00000256474:296, 9606.ENSP00000330393:329, 9606.ENSP00000360141:499, 9606.ENSP00000264634:400",0,0.22469299999999998,0.621099,0.148889818660506,cur_042
AVPR2,897,5,3.6602183114061426,NULL,NULL,NULL,NULL,"Diabetes insipidus, nephrogenic, 1[OMIM:304800]-X-linked recessive inheritance | Nephrogenic syndrome of inappropriate antidiuresis[OMIM:300539]-X-linked recessive inheritance","Moderate, Supportive (nephrogenic syndrome of inappropriate antidiuresis[MONDO:0010356]-X-linked) | Definitive (diabetes insipidus, nephrogenic, X-linked[MONDO:0010581]-X-linked) | Supportive (nephrogenic diabetes insipidus[MONDO:0016383]-Autosomal dominant)",NULL,P:49; LP:24; VUS:44,OMIM:304800 (tubulopathy: 0.112 | nephrocalcinosis: 0.076 | cyst_cilio: 0.024 | cakut: 0.008 | glomerulopathy: 0.004),OMIM:300539 (neonatal_or_pediatric: 0.402); OMIM:304800 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.134),OMIM:300539 (syndromic: 0.003 | neurologic: 0.006); OMIM:304800 (syndromic: 0.064 | growth: 0.421 | neurologic: 0.086),hm (false); ht (true),0,NULL,NULL,NULL,0,10.8434,3.30685,0.321731891572694,cur_043
B2M,914,5,2.848585067458381,NULL,NULL,NULL,NULL,"?Amyloidosis, familial visceral[OMIM:105200]-Autosomal dominant inheritance | Immunodeficiency 43[OMIM:241600]-Autosomal recessive inheritance",Supportive (MHC class I deficiency[MONDO:0011476]-Autosomal recessive) | Supportive (variant ABeta2M amyloidosis[MONDO:0017810]-Autosomal dominant),NULL,P:1; LP:6; VUS:20,OMIM:105200 (complement: 0.179 | glomerulopathy: 0.173 | cancer: 0.05 | nephrocalcinosis: 0.042 | tubulopathy: 0.035 | cakut: 0.024 | cyst_cilio: 0.018),OMIM:241600 (neonatal_or_pediatric: 0.2 | adult: 0.049),OMIM:105200 (syndromic: 0.002 | neurologic: 0.004); OMIM:241600 (syndromic: 0.001 | skeletal: 0.003),hm (false); ht (false),0,NULL,NULL,NULL,0.5,806.415,735.012,174.650679363396,cur_044
B9D1,24123,3,2.7344691521819597,0.002803,0.48209,1.6931,0.10157,?Meckel syndrome 9[OMIM:614209]-Autosomal recessive inheritance | Joubert syndrome 27[OMIM:617120]-Autosomal recessive inheritance,"Definitive (ciliopathy[MONDO:0005308]-Autosomal recessive) | Strong, Moderate (Meckel syndrome, type 9[MONDO:0013630]-Autosomal recessive) | Supportive (Joubert syndrome[MONDO:0018772]-Autosomal recessive) | Supportive (Meckel syndrome[MONDO:0018921]-Autosomal recessive)",Definitive (ciliopathy[MONDO:0005308]-AR),P:6; LP:5; VUS:88,OMIM:614209 (cakut: 0.016 | cancer: 0.01 | cyst_cilio: 0.008 | glomerulopathy: 0.002); OMIM:617120 (cyst_cilio: 0.003),OMIM:614209 (antenatal_or_congenital: 0.005); OMIM:617120 (neonatal_or_pediatric: 0.402),OMIM:614209 (syndromic: 0.001 | skeletal: 0.003 | neurologic: 0.001); OMIM:617120 (syndromic: 0.065 | skeletal: 0.019 | neurologic: 0.118),hm (true); ht (false),1,11104,0.9329140461215933,"9606.ENSP00000367398:547, 9606.ENSP00000386264:263, 9606.ENSP00000380779:995, 9606.ENSP00000403465:990, 9606.ENSP00000389998:985, 9606.ENSP00000376827:985, 9606.ENSP00000304941:988, 9606.ENSP00000314116:826, 9606.ENSP00000448012:951, 9606.ENSP00000258173:984, 9606.ENSP00000483364:972, 9606.ENSP00000313169:621, 9606.ENSP00000243578:997",0.5,11.4138,7.74555,22.3635440132608,cur_045
B9D2,28636,4,3.483981398902847,5.3e-5,0.85657,0.37995,-0.13015,?Meckel syndrome 10[OMIM:614175]-Autosomal recessive inheritance | Joubert syndrome 34[OMIM:614175]-Autosomal recessive inheritance,"Moderate (ciliopathy[MONDO:0005308]-Autosomal recessive) | Strong (Meckel syndrome, type 10[MONDO:0013609]-Autosomal recessive) | Supportive (Meckel syndrome[MONDO:0018921]-Autosomal recessive)",Moderate (ciliopathy[MONDO:0005308]-AR),P:4; LP:7; VUS:22,OMIM:614175 (cyst_cilio: 0.092 | cakut: 0.044 | cancer: 0.03 | glomerulopathy: 0.007 | tubulopathy: 0.007),OMIM:614175 (antenatal_or_congenital: 0.077),OMIM:614175 (syndromic: 0.05 | skeletal: 0.043 | neurologic: 0.054),hm (false); ht (false),1,10928,0.9266247379454927,"9606.ENSP00000314116:816, 9606.ENSP00000386264:208, 9606.ENSP00000367398:400, 9606.ENSP00000403465:987, 9606.ENSP00000258173:966, 9606.ENSP00000448012:885, 9606.ENSP00000436596:155, 9606.ENSP00000376827:930, 9606.ENSP00000304941:974, 9606.ENSP00000389998:976, 9606.ENSP00000380779:986, 9606.ENSP00000483364:936, 9606.ENSP00000261499:997, 9606.ENSP00000262457:292, 9606.ENSP00000313169:420",0,7.789960000000001,6.41392,6.77567180415752,cur_046
BAP1,950,2,1.4201674439492031,0.99443,0.12103,4.6825,2.6442,"Kury-Isidor syndrome[OMIM:619762]-Autosomal dominant inheritance | Tumor predisposition syndrome 1[OMIM:614327]-Autosomal dominant inheritance | {Uveal melanoma, susceptibility to, 2}[OMIM:606661]-Autosomal dominant inheritance","Strong (renal cell carcinoma[MONDO:0005086]-Autosomal dominant) | Definitive, Definitive, Definitive, Strong, Strong, Supportive (BAP1-related tumor predisposition syndrome[MONDO:0013692]-Autosomal dominant) | Strong (NA[NA]-Autosomal dominant)",Definitive (BAP1-related tumor predisposition syndrome[MONDO:0013692]-AD),P:209; LP:68; VUS:1082,OMIM:614327 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002); OMIM:619762 (cakut: 0.073 | cancer: 0.02 | cyst_cilio: 0.013 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002),OMIM:606661 (adult: 0.218); OMIM:614327 (adult: 0.683); OMIM:619762 (antenatal_or_congenital: 0.821),OMIM:614327 (syndromic: 0 | neurologic: 0.001); OMIM:619762 (syndromic: 0.149 | growth: 0.091 | skeletal: 0.101 | neurologic: 0.183),hm (false); ht (false),0.5,3978,0.6624737945492662,"9606.ENSP00000338766:165, 9606.ENSP00000297185:457, 9606.ENSP00000361021:457, 9606.ENSP00000360141:292, 9606.ENSP00000367203:292, 9606.ENSP00000363435:563, 9606.ENSP00000451828:292, 9606.ENSP00000481646:292, 9606.ENSP00000406229:292, 9606.ENSP00000324856:292, 9606.ENSP00000269305:292, 9606.ENSP00000357048:292",0.5,43.0225,35.8925,61.8758547489492,cur_047
BBIP1,28093,4,2.647918102596514,NULL,NULL,NULL,NULL,?Bardet-Biedl syndrome 18[OMIM:615995]-Autosomal recessive inheritance,"Strong, Limited (Bardet-Biedl syndrome 18[MONDO:0014446]-Autosomal recessive) | Supportive (Bardet-Biedl syndrome[MONDO:0015229]-Autosomal recessive)",NULL,P:2; LP:0; VUS:45,OMIM:615995 (glomerulopathy: 0.211 | cyst_cilio: 0.194 | tubulopathy: 0.147 | nephrocalcinosis: 0.132 | complement: 0.107 | cakut: 0.077 | cancer: 0.02),NULL,OMIM:615995 (syndromic: 0.025 | growth: 0.043 | skeletal: 0.013 | neurologic: 0.04),hm (false); ht (false),1,7648,0.8427672955974843,"9606.ENSP00000245157:998, 9606.ENSP00000268057:998, 9606.ENSP00000311505:191, 9606.ENSP00000264499:998, 9606.ENSP00000295240:998, 9606.ENSP00000242067:996, 9606.ENSP00000482306:972, 9606.ENSP00000296135:499, 9606.ENSP00000317469:998",0.5,8.17503,4.55986,27.8527347344957,cur_048
BBS1,966,5,4.476991283288024,0,0.69212,1.6446,0.15597,Bardet-Biedl syndrome 1[OMIM:209900]-Autosomal recessive inheritance | Bardet-Biedl syndrome 1[OMIM:209900]-Digenic inheritance,"Definitive, Definitive, Definitive, Strong (Bardet-Biedl syndrome 1[MONDO:0008854]-Autosomal recessive) | Supportive (Bardet-Biedl syndrome[MONDO:0015229]-Autosomal recessive)",NULL,P:98; LP:85; VUS:284,OMIM:209900 (cyst_cilio: 0.018 | cancer: 0.01 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002),OMIM:209900 (antenatal_or_congenital: 0.821),OMIM:209900 (syndromic: 0.093 | growth: 0.054 | skeletal: 0.052 | neurologic: 0.133),hm (true); ht (false),1,13431,0.9769392033542977,"9606.ENSP00000433157:998, 9606.ENSP00000362121:232, 9606.ENSP00000359319:229, 9606.ENSP00000330393:747, 9606.ENSP00000264499:999, 9606.ENSP00000257861:222, 9606.ENSP00000466134:169, 9606.ENSP00000268057:999, 9606.ENSP00000438273:292, 9606.ENSP00000448012:201, 9606.ENSP00000245157:999, 9606.ENSP00000262366:614, 9606.ENSP00000482306:999, 9606.ENSP00000413017:535, 9606.ENSP00000295240:999, 9606.ENSP00000338766:442, 9606.ENSP00000296135:824, 9606.ENSP00000238628:215, 9606.ENSP00000311505:292, 9606.ENSP00000334379:292, 9606.ENSP00000242067:999, 9606.ENSP00000382717:525, 9606.ENSP00000393541:230, 9606.ENSP00000262304:378",0.5,21.3039,17.9973,38.1888624670295,cur_049
BBS10,26291,5,3.9827822153696704,NULL,NULL,NULL,NULL,Bardet-Biedl syndrome 10[OMIM:615987]-Autosomal recessive inheritance,"Definitive, Definitive, Strong (Bardet-Biedl syndrome 10[MONDO:0014438]-Autosomal recessive) | Supportive (Bardet-Biedl syndrome[MONDO:0015229]-Autosomal recessive)",NULL,P:118; LP:81; VUS:303,OMIM:615987 (cyst_cilio: 0.16 | tubulopathy: 0.112 | nephrocalcinosis: 0.111 | glomerulopathy: 0.089 | cakut: 0.085 | complement: 0.071 | cancer: 0.05),NULL,OMIM:615987 (syndromic: 0.05 | growth: 0.043 | skeletal: 0.003 | neurologic: 0.098),hm (true); ht (false),0,NULL,NULL,NULL,0.5,NULL,NULL,10.7051978711143,cur_050
